product_id,product_name,category,subcategory,units_sold,revenue,cost,avg_discount,orders,profit,margin_pct
PROD0047,Monitor Elite,Electronics,Monitor,451,629983.75,302192.55,0.05108695652173913,138,327791.2,52.03169129362464
PROD0048,T-Shirt Basic,Clothing,T-Shirt,373,560978.55,194739.57,0.05555555555555555,126,366238.98000000004,65.2857368610618
PROD0049,Jeans Pro,Clothing,Jeans,396,709684.41,231683.76,0.060077519379844964,129,478000.65,67.35397357819936
PROD0050,Jacket Plus,Clothing,Jacket,435,277739.98,197420.4,0.05777027027027028,148,80319.57999999999,28.918983863972336
PROD0051,Dress Plus,Clothing,Dress,406,35365.85,14616.0,0.05821428571428572,140,20749.85,58.67199572468921
PROD0052,Sneakers Plus,Clothing,Sneakers,385,235955.43,115692.5,0.053214285714285714,140,120262.93,50.96849434658062
PROD0053,Boots Plus,Clothing,Boots,398,243428.1,166081.41999999998,0.053409090909090906,132,77346.68000000002,31.77393242604285
PROD0054,Hoodie Plus,Clothing,Hoodie,449,338408.41000000003,283009.19,0.057432432432432436,148,55399.22000000003,16.37052105176701
PROD0055,Shorts Elite,Clothing,Shorts,388,485961.42,282324.32,0.05193798449612403,129,203637.09999999998,41.90396431058251
PROD0056,Sofa Plus,Home & Garden,Sofa,439,26030.39,12142.74,0.059235668789808925,157,13887.65,53.351678557255575
PROD0057,Lamp Ultra,Home & Garden,Lamp,465,344026.08,141704.1,0.061224489795918366,147,202321.98,58.810070445822014
PROD0058,Blender Basic,Home & Garden,Blender,378,172104.63,106667.82,0.06153846153846154,130,65436.81,38.02152795075879
PROD0059,Coffee Maker Ultra,Home & Garden,Coffee Maker,392,297652.71,146694.24000000002,0.0572463768115942,138,150958.47,50.716309621370485
PROD0060,Rug Basic,Home & Garden,Rug,423,308703.89,274311.27,0.060211267605633806,142,34392.619999999995,11.140973960516012
PROD0061,Curtains Elite,Home & Garden,Curtains,452,122884.54000000001,48327.840000000004,0.061986301369863016,146,74556.70000000001,60.67215615568892
PROD0062,Plant Pot Ultra,Home & Garden,Plant Pot,408,73276.06999999999,33309.12,0.05864661654135339,133,39966.94999999999,54.54297699098763
PROD0063,Bookshelf Plus,Home & Garden,Bookshelf,418,144096.48,45227.6,0.05223880597014925,134,98868.88,68.61297375203058
PROD0064,Yoga Mat Ultra,Sports,Yoga Mat,420,420135.4,241596.6,0.06020408163265306,147,178538.80000000002,42.4955383431151
PROD0065,Dumbbell Set Elite,Sports,Dumbbell Set,423,164371.15,64202.939999999995,0.05802919708029197,137,100168.20999999999,60.940262327056786
PROD0066,Running Shoes Elite,Sports,Running Shoes,466,496207.58,221196.22,0.060389610389610396,154,275011.36,55.42264388625421
PROD0067,Cycling Helmet Ultra,Sports,Cycling Helmet,404,355432.31,137566.04,0.051111111111111114,135,217866.27,61.29613540198413
PROD0068,Tennis Racket Pro,Sports,Tennis Racket,394,671500.35,236246.34,0.06408450704225352,142,435254.01,64.81813598459033
PROD0069,Football Plus,Sports,Football,419,17237.43,6867.41,0.0610738255033557,149,10370.02,60.15989622582949
PROD0070,Backpack Elite,Sports,Backpack,377,379871.72000000003,173348.37,0.054838709677419356,124,206523.35000000003,54.3666030206197
PROD0071,Water Bottle Plus,Sports,Water Bottle,426,667548.82,330904.02,0.0562937062937063,143,336644.79999999993,50.42998952496088
PROD0072,Moisturizer Ultra,Beauty,Moisturizer,449,434785.73,159255.81,0.06458333333333334,144,275529.92,63.37142665652803
PROD0073,Perfume Basic,Beauty,Perfume,423,121547.52,64769.76,0.05740740740740741,135,56777.76,46.71239692920102
PROD0074,Lipstick Ultra,Beauty,Lipstick,382,93495.18000000001,31217.04,0.05655737704918033,122,62278.14000000001,66.61107021773743
PROD0075,Foundation Ultra,Beauty,Foundation,472,193534.07,162405.76,0.054838709677419356,155,31128.309999999998,16.084149938044497
PROD0076,Shampoo Elite,Beauty,Shampoo,429,396758.02,285246.39,0.0573943661971831,142,111511.63,28.105702816038853
PROD0077,Face Mask Pro,Beauty,Face Mask,489,409538.88,178382.31,0.06574074074074074,162,231156.57,56.443131846236426
PROD0078,Eye Cream Ultra,Beauty,Eye Cream,453,198870.7,68031.54000000001,0.05454545454545454,143,130839.16,65.791069272648
PROD0079,Sunscreen Elite,Beauty,Sunscreen,453,96288.2,82165.14,0.05264900662251656,151,14123.059999999998,14.667487812629169
PROD0080,Smartphone Pro,Electronics,Smartphone,395,404004.22000000003,178733.55,0.065,130,225270.67000000004,55.75948439350461
PROD0081,Laptop Ultra,Electronics,Laptop,444,265923.35,83556.36,0.056896551724137934,145,182366.99,68.57878031395137
PROD0082,Tablet Ultra,Electronics,Tablet,381,525442.03,207995.52,0.04927007299270073,137,317446.51,60.41513466290468
PROD0083,Headphones Ultra,Electronics,Headphones,485,640696.89,278530.64999999997,0.054516129032258075,155,362166.24000000005,56.52692336308984
PROD0084,Smartwatch Basic,Electronics,Smartwatch,427,61058.18,18741.03,0.0518796992481203,133,42317.15,69.30627476940846
PROD0085,Camera Basic,Electronics,Camera,422,1012567.14,328210.5,0.050699300699300696,143,684356.64,67.58629753677371
PROD0086,Speaker Ultra,Electronics,Speaker,449,141750.13,109327.01000000001,0.057,150,32423.119999999995,22.873432285388375
PROD0087,Monitor Pro,Electronics,Monitor,460,647731.23,270526.0,0.06241830065359478,153,377205.23,58.234837619300826
PROD0088,T-Shirt Plus,Clothing,T-Shirt,403,140886.21,48081.93,0.05,133,92804.28,65.87179824058012
PROD0089,Jeans Plus,Clothing,Jeans,459,372229.27,155192.49,0.06308724832214765,149,217036.78000000003,58.30728464744324
PROD0090,Jacket Basic,Clothing,Jacket,412,548368.24,317598.44,0.056993006993006995,143,230769.8,42.08299882575256
PROD0091,Dress Basic,Clothing,Dress,404,442577.86,305323.0,0.061567164179104475,134,137254.86,31.012590643372896
PROD0092,Sneakers Ultra,Clothing,Sneakers,405,268133.8,107462.7,0.061702127659574474,141,160671.09999999998,59.92198670962034
PROD0093,Boots Basic,Clothing,Boots,433,471483.98,218530.77,0.052684563758389265,149,252953.21,53.65043580059709
PROD0094,Hoodie Pro,Clothing,Hoodie,429,537675.47,255516.69,0.05880281690140845,142,282158.77999999997,52.4775251509986
PROD0095,Shorts Pro,Clothing,Shorts,407,709444.01,235005.87,0.06398601398601399,143,474438.14,66.87464173529352
PROD0096,Sofa Ultra,Home & Garden,Sofa,435,87995.98,41198.85,0.05869565217391304,138,46797.13,53.18098622232515
PROD0097,Lamp Elite,Home & Garden,Lamp,402,602784.6,278618.16,0.06691176470588235,136,324166.44,53.778155579953435
PROD0098,Blender Ultra,Home & Garden,Blender,439,843423.29,350365.9,0.06601307189542484,153,493057.39,58.45906745117271
PROD0099,Coffee Maker Basic,Home & Garden,Coffee Maker,453,677821.17,308366.16000000003,0.06437908496732025,153,369455.01,54.50626601113683
PROD0100,Rug Elite,Home & Garden,Rug,422,508209.13,292365.82,0.06083916083916085,143,215843.31,42.471356230849295
PROD0101,Curtains Elite,Home & Garden,Curtains,421,291109.27,112162.81999999999,0.052554744525547446,137,178946.45,61.47054334614628
PROD0102,Plant Pot Ultra,Home & Garden,Plant Pot,393,489447.14,224760.63,0.060546875,128,264686.51,54.07867129430974
PROD0103,Bookshelf Basic,Home & Garden,Bookshelf,431,309072.11,230227.27,0.06216216216216217,148,78844.84,25.510176249807852
PROD0104,Yoga Mat Basic,Sports,Yoga Mat,415,287834.27,126068.7,0.046691176470588236,136,161765.57,56.200941604347534
PROD0105,Dumbbell Set Pro,Sports,Dumbbell Set,407,690357.89,273247.59,0.055639097744360905,133,417110.3,60.41942969609574
PROD0106,Running Shoes Ultra,Sports,Running Shoes,389,180320.81,75738.3,0.059765625,128,104582.51,57.99802585181377
PROD0107,Cycling Helmet Basic,Sports,Cycling Helmet,443,498147.76,264351.39,0.05641891891891892,148,233796.37,46.93313686686055
PROD0108,Tennis Racket Basic,Sports,Tennis Racket,407,532606.14,171184.2,0.07481203007518798,133,361421.94,67.85913883756578
PROD0109,Football Elite,Sports,Football,413,222055.13999999998,188208.23,0.06380597014925374,134,33846.909999999974,15.242569931054051
PROD0110,Backpack Elite,Sports,Backpack,428,750723.38,274994.28,0.05405405405405406,148,475729.1,63.36942643240976
PROD0111,Water Bottle Elite,Sports,Water Bottle,401,369830.93,114341.14,0.05148148148148148,135,255489.78999999998,69.08286172819564
PROD0112,Moisturizer Elite,Beauty,Moisturizer,432,522583.76,159524.63999999998,0.059375000000000004,144,363059.12,69.47386195085741
PROD0113,Perfume Elite,Beauty,Perfume,453,612035.52,203392.47,0.056081081081081084,148,408643.05000000005,66.76786504155838
PROD0114,Lipstick Basic,Beauty,Lipstick,460,431496.61,287900.2,0.05673076923076923,156,143596.40999999997,33.27868786732762
PROD0115,Foundation Plus,Beauty,Foundation,427,578314.54,211382.08,0.05384615384615385,143,366932.4600000001,63.44859667543549
PROD0116,Shampoo Basic,Beauty,Shampoo,442,429132.16,323442.33999999997,0.05915492957746479,142,105689.82,24.628734420650275
PROD0117,Face Mask Elite,Beauty,Face Mask,384,114670.6,58759.68,0.061328125000000004,128,55910.920000000006,48.75785074814294
PROD0118,Eye Cream Elite,Beauty,Eye Cream,413,234595.15,112715.96,0.053787878787878794,132,121879.18999999999,51.95298794540296
PROD0119,Sunscreen Ultra,Beauty,Sunscreen,447,159744.36000000002,116930.73,0.06404109589041096,146,42813.63000000002,26.801340591930767
PROD0120,Smartphone Ultra,Electronics,Smartphone,404,371574.0,208314.52000000002,0.052573529411764706,136,163259.47999999998,43.937272252633385
PROD0121,Laptop Pro,Electronics,Laptop,459,403708.77,256135.77,0.05193548387096775,155,147573.00000000003,36.55432107655229
PROD0122,Tablet Plus,Electronics,Tablet,434,684709.25,230992.16,0.0589041095890411,146,453717.08999999997,66.26419754078098
PROD0123,Headphones Pro,Electronics,Headphones,426,424738.2,136498.92,0.05971223021582734,139,288239.28,67.8628105501224
PROD0124,Smartwatch Ultra,Electronics,Smartwatch,456,918247.9,320016.24,0.053437500000000006,160,598231.66,65.14925435712948
PROD0125,Camera Pro,Electronics,Camera,401,666128.97,320619.55,0.05942028985507247,138,345509.42,51.86824707533738
PROD0126,Speaker Plus,Electronics,Speaker,384,363370.66,304965.12,0.05666666666666667,135,58405.53999999998,16.073267995825525
PROD0127,Monitor Plus,Electronics,Monitor,400,130088.93,80020.0,0.054411764705882354,136,50068.92999999999,38.488232626711586
PROD0128,T-Shirt Basic,Clothing,T-Shirt,385,897519.4,297162.25,0.04810606060606061,132,600357.15,66.89071567700933
PROD0129,Jeans Basic,Clothing,Jeans,484,507546.0,214518.48,0.05817610062893082,159,293027.52,57.734179759076035
PROD0130,Jacket Basic,Clothing,Jacket,481,365358.49,155218.7,0.06622516556291391,151,210139.78999999998,57.51605498479041
PROD0131,Dress Elite,Clothing,Dress,402,901402.13,315819.24,0.06139705882352941,136,585582.89,64.96355738586949
PROD0132,Sneakers Ultra,Clothing,Sneakers,410,497488.97,303719.8,0.05457746478873239,142,193769.16999999998,38.949440426789764
PROD0133,Boots Plus,Clothing,Boots,420,140027.4,47006.4,0.06214285714285714,140,93021.0,66.43057001701096
PROD0134,Hoodie Ultra,Clothing,Hoodie,408,104180.84,33378.48,0.05875912408759124,137,70802.35999999999,67.96101855197173
PROD0135,Shorts Plus,Clothing,Shorts,364,93937.84999999999,32148.48,0.057421875000000004,128,61789.369999999995,65.77686204229711
PROD0136,Sofa Plus,Home & Garden,Sofa,365,438136.05,188978.75,0.06041666666666667,120,249157.3,56.867564310218256
PROD0137,Lamp Basic,Home & Garden,Lamp,368,43378.64,17406.399999999998,0.05040322580645161,124,25972.24,59.873338583228985
PROD0138,Blender Pro,Home & Garden,Blender,434,20647.06,9799.72,0.05555555555555555,144,10847.340000000002,52.53697136541474
PROD0139,Coffee Maker Elite,Home & Garden,Coffee Maker,472,341330.05,267397.44,0.05691823899371069,159,73932.60999999999,21.660152687992163
PROD0140,Rug Pro,Home & Garden,Rug,357,518832.73,163488.15,0.05977443609022556,133,355344.57999999996,68.48923736943118
PROD0141,Curtains Basic,Home & Garden,Curtains,447,804990.06,252487.95,0.053144654088050323,159,552502.1100000001,68.63464997319346
PROD0142,Plant Pot Elite,Home & Garden,Plant Pot,403,453567.1,174507.06,0.05811688311688312,154,279060.04,61.52563534700819
PROD0143,Bookshelf Ultra,Home & Garden,Bookshelf,401,331896.01,163936.82,0.05335820895522388,134,167959.19,50.605968417637804
PROD0144,Yoga Mat Elite,Sports,Yoga Mat,361,9216.81,3750.7900000000004,0.05,127,5466.019999999999,59.30490050245149
PROD0145,Dumbbell Set Plus,Sports,Dumbbell Set,351,394184.11,173046.51,0.06147540983606557,122,221137.59999999998,56.100079731778116
PROD0146,Running Shoes Plus,Sports,Running Shoes,405,813188.25,251148.6,0.06870503597122303,139,562039.65,69.11556456945856
PROD0147,Cycling Helmet Pro,Sports,Cycling Helmet,424,459730.20999999996,247738.96,0.055102040816326525,147,211991.24999999997,46.11209909394468
PROD0148,Tennis Racket Basic,Sports,Tennis Racket,435,648215.13,330373.8,0.06510791366906475,139,317841.33,49.03330935826815
PROD0149,Football Elite,Sports,Football,422,441991.35,286360.76,0.05387323943661972,142,155630.58999999997,35.21122981252913
PROD0150,Backpack Plus,Sports,Backpack,403,623061.09,283655.58,0.06692307692307693,130,339405.50999999995,54.47387350091144
