order_id,customer_id,order_date,status,payment_method,discount_pct,shipping_cost
ORD0000090,CUST00622,2024-08-04,Delivered,Debit Card,0.05,1.46
ORD0000091,CUST01520,2024-09-27,Delivered,Wallet,0.0,0.34
ORD0000092,CUST00247,2024-09-24,Cancelled,Debit Card,0.15,0.22
ORD0000093,CUST01782,2024-10-11,Delivered,Credit Card,0.0,10.54
ORD0000094,CUST01389,2024-06-09,Delivered,UPI,0.05,6.19
ORD0000095,CUST01973,2024-04-25,Delivered,Credit Card,0.05,14.94
ORD0000096,CUST01145,2024-11-02,Returned,Wallet,0.1,0.71
ORD0000097,CUST01681,2023-12-10,Delivered,PayPal,0.0,10.89
ORD0000098,CUST01189,2024-01-30,Delivered,PayPal,0.2,2.21
ORD0000099,CUST01969,2024-11-16,Delivered,Debit Card,0.0,4.99
ORD0000100,CUST01544,2024-10-12,Returned,Credit Card,0.0,5.15
ORD0000101,CUST00168,2024-12-22,Delivered,Net Banking,0.0,8.16
ORD0000102,CUST01362,2023-06-03,Delivered,PayPal,0.1,7.34
ORD0000103,CUST01919,2024-06-18,Delivered,Debit Card,0.1,8.66
ORD0000104,CUST01830,2024-10-24,Returned,Credit Card,0.05,10.42
ORD0000105,CUST01691,2024-11-19,Delivered,Debit Card,0.0,0.35
ORD0000106,CUST00381,2024-12-07,Delivered,PayPal,0.0,6.79
ORD0000107,CUST00022,2024-11-16,Delivered,PayPal,0.0,6.43
ORD0000108,CUST01024,2023-11-23,Delivered,UPI,0.0,12.92
ORD0000109,CUST00866,2024-09-14,Delivered,Wallet,0.0,7.35
ORD0000110,CUST01555,2024-02-12,Delivered,Credit Card,0.05,3.68
ORD0000111,CUST00962,2023-01-12,Delivered,Wallet,0.05,12.82
ORD0000112,CUST00022,2024-10-13,Delivered,Credit Card,0.1,14.03
ORD0000113,CUST01428,2024-08-12,Delivered,Wallet,0.15,10.86
ORD0000114,CUST01006,2023-07-12,Cancelled,Debit Card,0.0,0.6
ORD0000115,CUST00408,2024-09-07,Delivered,Wallet,0.0,12.1
ORD0000116,CUST00469,2024-08-07,Returned,Credit Card,0.15,1.52
ORD0000117,CUST00898,2024-04-05,Delivered,Credit Card,0.1,10.63
ORD0000118,CUST01142,2024-02-08,Delivered,Wallet,0.0,5.36
ORD0000119,CUST00332,2022-11-13,Delivered,UPI,0.1,9.9
ORD0000120,CUST01989,2024-11-13,Delivered,Credit Card,0.05,8.39
ORD0000121,CUST00273,2024-07-07,Delivered,Credit Card,0.0,1.69
ORD0000122,CUST01804,2024-08-15,Delivered,UPI,0.15,12.02
ORD0000123,CUST00981,2023-09-03,Delivered,Wallet,0.0,9.41
ORD0000124,CUST00149,2024-11-22,Delivered,UPI,0.05,12.6
ORD0000125,CUST00833,2023-03-07,Delivered,PayPal,0.0,11.71
ORD0000126,CUST00922,2023-09-11,Delivered,Net Banking,0.0,14.24
ORD0000127,CUST01068,2024-08-28,Delivered,Net Banking,0.0,0.46
ORD0000128,CUST01583,2022-06-12,Delivered,UPI,0.0,9.75
ORD0000129,CUST01424,2024-07-12,Cancelled,Wallet,0.05,11.79
ORD0000130,CUST01417,2024-08-30,Processing,Net Banking,0.05,9.47
ORD0000131,CUST01792,2023-07-29,Delivered,PayPal,0.0,13.61
ORD0000132,CUST01061,2023-11-21,Delivered,Wallet,0.05,9.89
ORD0000133,CUST00658,2023-04-27,Returned,Debit Card,0.05,1.76
ORD0000134,CUST01818,2024-07-30,Returned,UPI,0.0,7.27
ORD0000135,CUST01101,2024-07-17,Delivered,PayPal,0.05,1.87
ORD0000136,CUST00007,2024-01-09,Delivered,UPI,0.15,6.82
ORD0000137,CUST01220,2024-08-03,Delivered,Credit Card,0.0,2.1
ORD0000138,CUST01736,2023-02-07,Delivered,PayPal,0.05,1.91
ORD0000139,CUST00082,2024-10-30,Delivered,PayPal,0.0,14.65
ORD0000140,CUST01237,2024-05-23,Delivered,PayPal,0.15,12.61
ORD0000141,CUST00649,2024-12-30,Delivered,UPI,0.1,3.05
ORD0000142,CUST01995,2023-11-06,Returned,Debit Card,0.0,12.68
ORD0000143,CUST00340,2024-10-27,Delivered,Credit Card,0.0,0.05
ORD0000144,CUST00914,2023-05-15,Delivered,UPI,0.1,10.69
ORD0000145,CUST01567,2023-04-26,Delivered,UPI,0.1,11.84
ORD0000146,CUST01261,2024-07-31,Returned,PayPal,0.05,2.17
ORD0000147,CUST01614,2024-02-11,Delivered,UPI,0.0,4.11
ORD0000148,CUST01322,2024-09-13,Delivered,Credit Card,0.1,5.83
ORD0000149,CUST01006,2024-08-22,Delivered,Credit Card,0.15,6.56
ORD0000150,CUST01867,2023-09-24,Delivered,Net Banking,0.0,9.68
ORD0000151,CUST00099,2023-12-09,Delivered,Credit Card,0.15,9.23
ORD0000152,CUST00928,2022-10-10,Delivered,PayPal,0.15,13.07
ORD0000153,CUST00342,2024-10-05,Delivered,Credit Card,0.0,8.59
ORD0000154,CUST00484,2023-08-15,Returned,Wallet,0.0,1.16
ORD0000155,CUST01559,2024-05-27,Delivered,Debit Card,0.0,3.68
ORD0000156,CUST01052,2024-11-18,Delivered,Credit Card,0.05,5.91
ORD0000157,CUST01734,2024-02-23,Delivered,PayPal,0.05,8.61
ORD0000158,CUST00359,2024-06-29,Delivered,Net Banking,0.0,11.32
ORD0000159,CUST00002,2024-11-30,Delivered,Wallet,0.1,11.31
ORD0000160,CUST00725,2024-12-03,Delivered,UPI,0.1,11.27
ORD0000161,CUST00259,2024-12-20,Delivered,PayPal,0.0,12.63
ORD0000162,CUST00770,2024-07-02,Delivered,Debit Card,0.0,11.25
ORD0000163,CUST01772,2024-11-28,Returned,Wallet,0.1,11.91
ORD0000164,CUST01845,2024-01-21,Cancelled,UPI,0.0,7.0
ORD0000165,CUST01966,2024-04-06,Delivered,Wallet,0.0,13.84
ORD0000166,CUST00953,2024-11-29,Cancelled,Credit Card,0.15,8.97
ORD0000167,CUST00978,2023-04-02,Cancelled,UPI,0.15,1.02
ORD0000168,CUST00340,2022-12-13,Processing,Wallet,0.0,8.42
ORD0000169,CUST01292,2024-05-20,Delivered,Net Banking,0.05,6.9
ORD0000170,CUST01200,2022-09-14,Cancelled,UPI,0.1,11.45
ORD0000171,CUST01037,2022-08-29,Processing,UPI,0.0,4.95
ORD0000172,CUST00565,2024-06-23,Delivered,Credit Card,0.0,14.3
ORD0000173,CUST00856,2024-06-25,Delivered,Debit Card,0.05,0.01
ORD0000174,CUST01490,2024-11-18,Returned,Debit Card,0.0,13.87
ORD0000175,CUST01491,2023-11-05,Returned,PayPal,0.2,8.66
ORD0000176,CUST01368,2024-11-27,Returned,Wallet,0.05,4.18
ORD0000177,CUST00990,2024-06-23,Delivered,UPI,0.05,14.59
ORD0000178,CUST01854,2024-04-08,Cancelled,Net Banking,0.1,5.44
ORD0000179,CUST00333,2024-09-11,Cancelled,PayPal,0.1,13.89
ORD0000180,CUST00316,2024-06-23,Delivered,PayPal,0.0,1.77
ORD0000181,CUST01206,2023-07-01,Delivered,PayPal,0.1,3.65
ORD0000182,CUST00207,2023-05-28,Delivered,Debit Card,0.1,8.11
ORD0000183,CUST00966,2024-01-14,Delivered,PayPal,0.0,10.18
ORD0000184,CUST00080,2024-08-21,Delivered,Credit Card,0.0,12.32
ORD0000185,CUST01688,2024-10-10,Delivered,Net Banking,0.05,12.55
ORD0000186,CUST00134,2023-12-21,Delivered,Wallet,0.0,11.64
ORD0000187,CUST00806,2024-10-02,Delivered,UPI,0.0,12.15
ORD0000188,CUST00602,2024-05-20,Delivered,PayPal,0.15,9.99
ORD0000189,CUST01441,2023-06-13,Delivered,Credit Card,0.0,2.22
ORD0000190,CUST00840,2024-05-10,Cancelled,Wallet,0.1,8.28
ORD0000191,CUST00321,2024-11-16,Delivered,Credit Card,0.0,12.62
ORD0000192,CUST00921,2024-09-23,Returned,Wallet,0.1,6.34
ORD0000193,CUST00016,2024-12-10,Returned,UPI,0.2,1.4
ORD0000194,CUST01961,2024-08-22,Cancelled,UPI,0.1,0.58
ORD0000195,CUST01639,2024-11-29,Delivered,UPI,0.0,11.57
ORD0000196,CUST01255,2024-05-14,Delivered,Wallet,0.1,12.0
ORD0000197,CUST00092,2024-08-05,Delivered,Wallet,0.05,14.48
ORD0000198,CUST01873,2023-08-03,Cancelled,Debit Card,0.1,6.74
ORD0000199,CUST01369,2024-12-30,Delivered,Net Banking,0.0,3.44
ORD0000200,CUST00814,2023-04-20,Delivered,PayPal,0.2,8.03
ORD0000201,CUST00438,2024-08-25,Delivered,Credit Card,0.0,12.83
ORD0000202,CUST00164,2024-07-28,Delivered,Credit Card,0.15,1.49
ORD0000203,CUST01494,2024-02-29,Delivered,PayPal,0.1,4.64
ORD0000204,CUST01789,2023-10-19,Returned,Debit Card,0.0,0.99
ORD0000205,CUST01025,2024-12-08,Delivered,Net Banking,0.05,4.17
ORD0000206,CUST00362,2024-06-11,Returned,PayPal,0.05,10.88
ORD0000207,CUST00398,2024-07-18,Processing,PayPal,0.1,0.45
ORD0000208,CUST01306,2024-05-26,Delivered,Credit Card,0.1,14.64
ORD0000209,CUST00408,2024-03-20,Delivered,Net Banking,0.0,5.33
ORD0000210,CUST01067,2024-10-22,Delivered,UPI,0.05,7.42
ORD0000211,CUST01759,2023-05-17,Delivered,Debit Card,0.0,10.44
ORD0000212,CUST00746,2024-07-12,Delivered,UPI,0.1,0.34
ORD0000213,CUST00195,2023-05-05,Delivered,Credit Card,0.0,2.74
ORD0000214,CUST00101,2024-05-08,Delivered,Net Banking,0.1,13.69
ORD0000215,CUST01783,2024-12-23,Delivered,Wallet,0.15,4.46
ORD0000216,CUST00141,2022-09-12,Cancelled,Credit Card,0.05,13.37
ORD0000217,CUST01110,2023-07-20,Delivered,Net Banking,0.05,13.43
ORD0000218,CUST00380,2024-07-04,Delivered,Debit Card,0.0,10.93
ORD0000219,CUST00836,2023-03-16,Delivered,Net Banking,0.15,11.92
ORD0000220,CUST00433,2024-10-29,Delivered,Net Banking,0.0,4.39
ORD0000221,CUST00590,2023-09-21,Delivered,Credit Card,0.15,10.6
ORD0000222,CUST00235,2024-12-05,Delivered,Wallet,0.1,1.92
ORD0000223,CUST01981,2023-05-02,Delivered,Debit Card,0.0,11.17
ORD0000224,CUST00006,2023-04-16,Delivered,Credit Card,0.1,6.2
ORD0000225,CUST00302,2024-11-07,Delivered,PayPal,0.0,4.88
ORD0000226,CUST01757,2024-11-21,Delivered,Debit Card,0.0,13.05
ORD0000227,CUST00950,2022-10-10,Delivered,Credit Card,0.15,11.22
ORD0000228,CUST00289,2023-10-21,Delivered,Credit Card,0.05,7.1
ORD0000229,CUST00412,2024-12-11,Returned,UPI,0.1,4.04
ORD0000230,CUST01322,2024-06-23,Delivered,Net Banking,0.2,7.65
ORD0000231,CUST01638,2024-04-18,Delivered,Net Banking,0.0,14.36
ORD0000232,CUST01659,2024-02-27,Delivered,Net Banking,0.1,12.84
ORD0000233,CUST00007,2024-02-10,Processing,Wallet,0.0,11.55
ORD0000234,CUST00384,2024-08-19,Delivered,UPI,0.1,3.77
ORD0000235,CUST00779,2024-09-07,Delivered,PayPal,0.15,0.69
ORD0000236,CUST01091,2024-08-29,Delivered,Net Banking,0.05,0.25
ORD0000237,CUST00474,2023-12-11,Returned,UPI,0.0,8.02
ORD0000238,CUST00448,2023-10-14,Delivered,Net Banking,0.0,6.14
ORD0000239,CUST01100,2023-06-06,Delivered,Net Banking,0.1,2.51
ORD0000240,CUST00182,2024-08-05,Delivered,PayPal,0.15,0.0
ORD0000241,CUST00056,2023-01-17,Processing,Wallet,0.05,4.13
ORD0000242,CUST01511,2022-11-15,Delivered,Debit Card,0.0,2.96
ORD0000243,CUST00463,2024-12-25,Delivered,Wallet,0.0,3.06
ORD0000244,CUST01708,2024-05-18,Delivered,PayPal,0.0,0.53
ORD0000245,CUST00174,2024-06-19,Delivered,Credit Card,0.0,6.52
ORD0000246,CUST01811,2024-10-07,Cancelled,Net Banking,0.15,14.77
ORD0000247,CUST01714,2024-05-07,Delivered,Debit Card,0.0,13.89
ORD0000248,CUST00953,2024-10-31,Returned,Wallet,0.0,1.9
ORD0000249,CUST01148,2024-02-21,Delivered,Wallet,0.05,11.06
ORD0000250,CUST01104,2023-10-12,Returned,Credit Card,0.0,7.63
ORD0000251,CUST00172,2024-01-03,Delivered,PayPal,0.0,4.98
ORD0000252,CUST00876,2024-11-06,Returned,Debit Card,0.0,10.48
ORD0000253,CUST00906,2022-10-13,Delivered,Credit Card,0.05,11.07
ORD0000254,CUST01736,2023-09-03,Delivered,Credit Card,0.1,11.63
ORD0000255,CUST01552,2024-10-14,Returned,Credit Card,0.05,10.32
ORD0000256,CUST00118,2023-10-29,Delivered,PayPal,0.2,5.69
ORD0000257,CUST01542,2024-05-19,Delivered,Debit Card,0.0,9.01
ORD0000258,CUST01865,2024-07-21,Delivered,PayPal,0.0,7.52
ORD0000259,CUST00958,2023-02-27,Delivered,Wallet,0.0,3.92
ORD0000260,CUST00182,2024-04-16,Delivered,Debit Card,0.0,6.08
ORD0000261,CUST01048,2023-08-29,Processing,Credit Card,0.0,5.49
ORD0000262,CUST00109,2024-05-11,Delivered,Net Banking,0.05,8.37
ORD0000263,CUST00133,2024-01-24,Delivered,Credit Card,0.0,12.98
ORD0000264,CUST01824,2023-11-29,Delivered,Wallet,0.1,2.66
ORD0000265,CUST00819,2024-08-30,Delivered,Debit Card,0.1,10.45
ORD0000266,CUST01322,2024-09-03,Delivered,PayPal,0.0,2.38
ORD0000267,CUST00755,2024-11-28,Delivered,PayPal,0.0,1.23
ORD0000268,CUST00826,2024-07-25,Delivered,PayPal,0.1,8.15
ORD0000269,CUST01370,2023-03-18,Delivered,PayPal,0.0,12.95
ORD0000270,CUST01497,2024-01-04,Delivered,Net Banking,0.05,7.78
ORD0000271,CUST01380,2024-08-31,Delivered,Wallet,0.0,0.86
ORD0000272,CUST01203,2024-06-08,Cancelled,Wallet,0.0,3.33
ORD0000273,CUST00194,2024-11-30,Delivered,Wallet,0.05,13.18
ORD0000274,CUST01999,2023-09-01,Delivered,Wallet,0.0,2.97
ORD0000275,CUST00463,2022-07-08,Cancelled,Wallet,0.15,1.15
ORD0000276,CUST01554,2024-09-28,Processing,Net Banking,0.0,12.88
ORD0000277,CUST01201,2023-02-13,Delivered,Net Banking,0.05,1.92
ORD0000278,CUST00968,2024-09-16,Delivered,Net Banking,0.0,1.8
ORD0000279,CUST01623,2024-03-25,Delivered,PayPal,0.0,9.06
ORD0000280,CUST00463,2023-05-03,Delivered,Credit Card,0.05,8.8
ORD0000281,CUST01233,2024-12-22,Delivered,PayPal,0.0,5.03
ORD0000282,CUST00267,2024-10-17,Delivered,Credit Card,0.15,12.44
ORD0000283,CUST00878,2024-05-06,Processing,Net Banking,0.1,10.41
ORD0000284,CUST01599,2023-07-14,Cancelled,Credit Card,0.15,7.8
ORD0000285,CUST01812,2024-11-12,Returned,UPI,0.1,2.31
ORD0000286,CUST01573,2024-05-09,Delivered,Credit Card,0.0,12.26
ORD0000287,CUST00995,2024-12-03,Delivered,Debit Card,0.05,9.32
ORD0000288,CUST01598,2024-05-04,Delivered,Wallet,0.0,13.69
ORD0000289,CUST01322,2024-05-11,Delivered,Credit Card,0.0,10.01
ORD0000290,CUST01157,2024-12-16,Delivered,PayPal,0.1,8.61
ORD0000291,CUST01931,2024-05-22,Delivered,UPI,0.05,13.04
ORD0000292,CUST00606,2024-08-09,Delivered,UPI,0.0,9.55
ORD0000293,CUST00603,2022-11-11,Delivered,Net Banking,0.15,9.28
ORD0000294,CUST01155,2024-12-14,Processing,Net Banking,0.0,10.5
ORD0000295,CUST00634,2024-12-12,Cancelled,Net Banking,0.1,9.1
ORD0000296,CUST01841,2024-12-05,Delivered,Credit Card,0.15,12.54
ORD0000297,CUST01125,2022-10-08,Delivered,Net Banking,0.1,10.15
ORD0000298,CUST01174,2024-11-08,Delivered,Debit Card,0.05,0.22
ORD0000299,CUST01654,2024-08-12,Delivered,Credit Card,0.0,3.78
ORD0000300,CUST01109,2024-08-19,Delivered,PayPal,0.1,12.75
ORD0000301,CUST01706,2024-04-12,Delivered,Credit Card,0.0,10.02
ORD0000302,CUST00240,2024-12-25,Processing,Debit Card,0.0,1.13
ORD0000303,CUST00769,2024-06-15,Delivered,Credit Card,0.05,4.4
ORD0000304,CUST01585,2023-04-14,Returned,Net Banking,0.05,14.24
ORD0000305,CUST01306,2023-07-15,Delivered,UPI,0.15,6.64
ORD0000306,CUST01463,2024-06-12,Cancelled,UPI,0.1,10.07
ORD0000307,CUST01528,2024-02-18,Delivered,UPI,0.1,13.85
ORD0000308,CUST00407,2024-02-17,Delivered,Debit Card,0.0,14.31
ORD0000309,CUST00707,2024-06-05,Delivered,Credit Card,0.05,6.96
ORD0000310,CUST00161,2024-11-25,Delivered,Debit Card,0.0,11.26
ORD0000311,CUST00272,2024-04-08,Delivered,PayPal,0.05,5.64
ORD0000312,CUST01826,2024-11-29,Delivered,Credit Card,0.0,10.89
ORD0000313,CUST00098,2022-10-09,Returned,Credit Card,0.0,14.6
ORD0000314,CUST00109,2023-12-31,Delivered,Credit Card,0.1,5.98
ORD0000315,CUST00349,2024-12-10,Delivered,Debit Card,0.0,9.59
ORD0000316,CUST01173,2024-09-04,Delivered,Wallet,0.1,10.3
ORD0000317,CUST01796,2023-01-11,Returned,Wallet,0.0,14.94
ORD0000318,CUST01966,2024-12-29,Delivered,Net Banking,0.1,8.17
ORD0000319,CUST01434,2024-10-11,Delivered,Debit Card,0.15,13.5
ORD0000320,CUST00771,2024-08-08,Delivered,Debit Card,0.1,2.71
ORD0000321,CUST01391,2024-09-17,Delivered,Net Banking,0.1,14.83
ORD0000322,CUST01169,2023-05-09,Delivered,UPI,0.0,11.32
ORD0000323,CUST01778,2023-06-03,Processing,Credit Card,0.0,12.76
ORD0000324,CUST01985,2023-07-31,Delivered,Net Banking,0.0,5.07
ORD0000325,CUST00926,2024-12-29,Delivered,Credit Card,0.1,10.43
ORD0000326,CUST00823,2024-11-20,Delivered,Wallet,0.0,2.8
ORD0000327,CUST01251,2024-03-06,Delivered,Net Banking,0.05,8.62
ORD0000328,CUST01058,2023-07-26,Delivered,Wallet,0.1,7.98
ORD0000329,CUST00756,2023-12-30,Delivered,Wallet,0.15,13.42
ORD0000330,CUST01491,2024-05-15,Delivered,Credit Card,0.05,0.46
ORD0000331,CUST00361,2024-12-25,Delivered,PayPal,0.15,3.77
ORD0000332,CUST01308,2024-06-30,Delivered,Net Banking,0.0,11.09
ORD0000333,CUST00697,2024-06-15,Delivered,Wallet,0.0,13.74
ORD0000334,CUST00365,2024-07-03,Delivered,Debit Card,0.2,6.05
ORD0000335,CUST01601,2024-08-22,Delivered,Net Banking,0.15,1.59
ORD0000336,CUST01959,2024-07-24,Cancelled,Credit Card,0.05,9.15
ORD0000337,CUST01287,2024-02-23,Returned,Net Banking,0.15,1.12
ORD0000338,CUST01192,2024-01-13,Delivered,PayPal,0.0,3.15
ORD0000339,CUST00930,2022-11-01,Delivered,Credit Card,0.0,3.25
ORD0000340,CUST00975,2024-12-01,Returned,Debit Card,0.05,11.98
ORD0000341,CUST00545,2024-10-28,Delivered,Credit Card,0.05,4.25
ORD0000342,CUST01261,2024-11-18,Cancelled,Net Banking,0.0,7.86
ORD0000343,CUST00740,2023-03-04,Delivered,Net Banking,0.05,12.85
ORD0000344,CUST01916,2024-02-24,Delivered,UPI,0.15,6.24
ORD0000345,CUST01010,2023-08-11,Delivered,Wallet,0.2,4.19
ORD0000346,CUST00590,2023-07-12,Delivered,Net Banking,0.0,13.66
ORD0000347,CUST01310,2024-03-04,Delivered,Credit Card,0.15,14.38
ORD0000348,CUST01779,2023-06-16,Delivered,PayPal,0.0,7.21
ORD0000349,CUST00582,2023-12-12,Delivered,Net Banking,0.05,5.75
ORD0000350,CUST00867,2024-12-15,Cancelled,Wallet,0.1,14.24
ORD0000351,CUST01733,2024-09-05,Processing,PayPal,0.1,4.32
ORD0000352,CUST01713,2022-09-10,Delivered,Wallet,0.05,0.11
ORD0000353,CUST00773,2024-10-13,Delivered,Debit Card,0.0,6.23
ORD0000354,CUST00050,2024-04-19,Delivered,Net Banking,0.05,10.59
ORD0000355,CUST00951,2024-11-19,Delivered,Net Banking,0.2,9.42
ORD0000356,CUST00667,2024-10-28,Delivered,Wallet,0.05,11.13
ORD0000357,CUST01495,2024-05-04,Delivered,Debit Card,0.05,10.77
ORD0000358,CUST01980,2024-10-22,Processing,PayPal,0.15,2.73
ORD0000359,CUST00439,2024-11-29,Cancelled,Wallet,0.2,6.41
ORD0000360,CUST01312,2024-02-21,Delivered,Debit Card,0.05,13.45
ORD0000361,CUST01617,2024-11-21,Returned,PayPal,0.05,8.34
ORD0000362,CUST01002,2024-05-21,Delivered,Debit Card,0.15,2.42
ORD0000363,CUST01170,2024-07-15,Delivered,UPI,0.0,9.17
